property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
6165,-37.789359,144.8237,14 Armstrong Street,SUNSHINE WEST,LATROBE,20021,0.81259,20,1,2,2,1,0
81889,-38.00166,145.243137,1A Coulson Avenue,EUMEMMERRING,PYRENEES,19885,2.94337,50,1,0,0,0,0
45739,-37.713956,145.117657,1/29 Mayona Rd,MONTMORENCY,PORT PHILLIP,19986,0.37111,48,1,25,9,5,3
25524,-37.58101,144.906916,15 Wattletree Street,CRAIGIEBURN,YARRA RANGES,40221,3.95923,41,1,5,3,2,1
86406,-37.926867,145.002136,24 Roslyn Street,BRIGHTON,HUME,19950,1.14076,Not available,0,332,227,156,80
57838,-37.811966,145.164658,214 Springfield Rd(Crn. Goodwin St.),BLACKBURN,GREATER GEELONG,19899,1.31696,28,1,1,2,2,1
48907,-37.81156,145.078479,10 John Street,BALWYN,HOBSONS BAY,19893,1.4589,20,1,20,15,15,10
67266,-37.7659,145.372665,24 Parkside Close,LILYDALE,FRANKSTON,19876,2.48168,51,1,3,3,2,1
8823,-37.878613,144.760147,12 Rosscommon Place,SEABROOK,MACEDON RANGES,19924,1.3378,Not available,0,1,1,1,0
67520,-37.758158,145.356909,5 Deschamps Avenue,LILYDALE,FRANKSTON,19876,0.86127,51,1,3,3,2,1
26365,-37.594114,144.924825,3 Marion Court,CRAIGIEBURN,YARRA RANGES,40221,1.84288,41,1,5,3,2,1
48108,-37.808926,145.041654,21 Stirling Street,KEW,SOUTH GIPPSLAND,19904,1.46941,12,1,2,0,0,0
10808,-37.789093,144.933934,7 Collett Street,KENSINGTON,SOUTH GIPPSLAND,20040,0.47819,10,1,2,0,0,0
76577,-37.928707,145.121551,1415 Centre Road,CLAYTON,HINDMARSH,19915,0.45682,31,1,0,0,0,0
62374,-37.809752,145.219321,9 Hearthside Court,RINGWOOD,MACEDON RANGES,19902,1.0891,34,1,1,1,1,0
67000,-37.772942,145.364195,13 Kyra Close,LILYDALE,FRANKSTON,19876,2.42209,51,1,3,3,2,1
21945,-37.743584,144.95431,130 Munro Street,COBURG,MOONEE VALLEY,19965,0.80643,23,1,41,18,12,6
7788,-37.782436,144.800535,218 Forrest Street,ARDEER,SWAN HILL,20004,2.19204,23,1,1,0,0,0
56948,-37.855909,145.125807,9 Sparks Avenue,BURWOOD,MARIBYRNONG,19875,2.16262,Not available,0,22,7,5,3
48390,-37.810722,145.017166,4 Blythswood Court,KEW,SOUTH GIPPSLAND,19905,1.33488,10,1,2,0,0,0
13898,-37.75836,144.895159,16 Arthur Street,ABERFELDIE,MITCHELL,20037,1.86993,16,1,14,5,3,1
87152,-37.913371,145.007253,836 Hampton Street,BRIGHTON,HUME,19951,0.98181,Not available,0,332,227,156,80
49589,-37.805941,145.081544,5 Yongala Street,BALWYN,HOBSONS BAY,19893,2.06448,20,1,20,15,15,10
63284,-37.796394,145.3004,1/37 Jarvis Avenue,CROYDON,CARDINIA,19877,1.67193,46,1,25,10,5,3
23216,-37.747966,144.948324,85 Gordon Street,COBURG,MOONEE VALLEY,19966,1.3922,21,1,41,18,12,6
28110,-37.800677,144.978742,15 Kent Street,FITZROY,NILLUMBIK,19843,1.26387,2,1,4,2,1,1
59813,-37.815143,145.20205,3/38 Cook Road,MITCHAM,PORT PHILLIP,19900,0.94182,31,1,25,9,5,3
16129,-37.70522,144.894933,7 Daffodil Court,GOWANBRAE,WYNDHAM,20032,1.96435,28,1,99,45,34,20
75109,-37.905096,145.070708,39 Kinlock Avenue,MURRUMBEENA,MOIRA,19918,1.28964,24,1,0,0,0,0
74126,-37.907059,145.282913,16 Viewline Drive,LYSTERFIELD,BALLARAT,19867,2.69082,49,1,2,1,1,0
37626,-37.63067,145.035015,6 Quartz Grove,EPPING,FRANKSTON,20005,2.45567,51,1,3,3,2,1
33778,-37.700352,145.029388,13 Muriel Court,RESERVOIR,EAST GIPPSLAND,20008,1.65815,44,1,1,0,0,0
10662,-37.793367,144.922343,53 Westbourne Road,KENSINGTON,SOUTH GIPPSLAND,20041,0.72115,9,1,2,0,0,0
30104,-37.763779,145.003159,44 Darebin Road,NORTHCOTE,MURRINDINDI,20015,0.53821,29,1,0,0,0,0
15846,-37.748638,144.889526,8 Rosehill Road,NIDDRIE,MANSFIELD,20037,2.48681,16,1,0,0,0,0
2298,-37.779277,144.87357,45/12 Crefden Street,MAIDSTONE,BAW BAW,20022,2.41191,17,1,3,0,0,0
19202,-37.693636,144.926175,8 Keith Crescent,BROADMEADOWS,WODONGA,20031,0.92451,30,1,3,0,0,0
68985,-37.861223,145.030426,26 Edsall Street,MALVERN,BAW BAW,19944,0.56873,18,1,3,0,0,0
42285,-37.747725,145.067156,47 Manton Street,HEIDELBERG,MONASH,19936,0.54685,36,1,16,5,3,2
30728,-37.760116,144.999093,14 Shaftesbury Parade,THORNBURY,LATROBE,20015,0.47844,29,1,2,2,1,0
89866,-37.972092,145.05957,11 Charles Street,CHELTENHAM,YARRA RANGES,19866,0.74862,40,1,5,3,2,1
46319,-37.70709,145.175232,1 Goodlet Place,ELTHAM,FRANKSTON,19987,2.51871,52,1,3,3,2,1
10149,-37.793413,144.929768,168 Bellair Street,KENSINGTON,SOUTH GIPPSLAND,20041,0.07809,9,1,2,0,0,0
14480,-37.760723,144.890488,45 Clifton Street,ABERFELDIE,MITCHELL,20037,2.32264,16,1,14,5,3,1
91987,-37.983903,145.077842,13 Long Street,MENTONE,WEST WIMMERA,19864,1.03004,45,1,0,0,0,0
53460,-37.826528,144.9899,53 Wellington Street,CREMORNE,WELLINGTON,19908,0.27411,6,1,0,0,0,0
2705,-37.813632,144.882438,11 Loch Street,YARRAVILLE,MITCHELL,19996,0.70391,Not available,0,14,5,3,1
31652,-37.733748,144.999548,1/41 Spring Street,PRESTON,BOROONDARA,20012,0.55504,35,1,12,3,2,1
38446,-37.779845,145.030928,8 Miller Street,ALPHINGTON,BANYULE,19931,0.1641,28,1,22,13,7,4
36031,-37.682923,145.035437,56 Oxford Drive,THOMASTOWN,CAMPASPE,20007,1.88608,46,1,0,0,0,0
39941,-37.693657,145.053284,2 Dealing Ct,BUNDOORA,WODONGA,19984,3.306,42,1,3,0,0,0
67504,-37.743295,145.363556,48 Trafalgar Crescent,LILYDALE,FRANKSTON,19876,1.94845,51,1,3,3,2,1
72623,-37.852825,145.276552,9 Centaur Court,BAYSWATER,INDIGO,19869,1.09305,44,1,-1,0,0,0
78765,-37.961448,145.146098,2 Guildford Avenue,SPRINGVALE,GREATER BENDIGO,19913,1.47749,36,1,0,0,0,0
70390,-37.8626,145.09106,93 Fakenham Road,ASHBURTON,DAREBIN,19848,0.8568,27,1,41,22,15,8
50117,-37.770973,145.090785,29 Gympie Street,BULLEEN,MARIBYRNONG,19935,3.0676,34,1,22,7,5,3
77204,-37.93309,145.107979,30 Raleigh Street,CLARINDA,BULOKE,19915,1.4461,31,1,0,0,0,0
42394,-37.753063,145.070663,56 Rosanna Road,HEIDELBERG,MONASH,19935,0.98507,34,1,16,5,3,2
55547,-37.841908,145.061985,33 Radnor Street,CAMBERWELL,MELBOURNE,19851,1.00458,21,1,23,12,8,5
6353,-37.783489,144.842362,2 Dorothy Street,SUNSHINE,KNOX,20021,1.00583,20,1,23,5,3,2
51211,-37.779569,145.125571,3 Kelly Street,DONCASTER,MORELAND,20042,4.42903,22,1,111,55,48,25
39562,-37.706024,145.059365,12 Norwood Court,BUNDOORA,WODONGA,19984,2.22033,42,1,3,0,0,0
3026,-37.813102,144.88746,2 Brooks Place,YARRAVILLE,MITCHELL,19996,0.37543,Not available,0,14,5,3,1
31998,-37.744178,145.016756,16 Opal Street,PRESTON,BOROONDARA,20013,1.46937,33,1,12,3,2,1
37769,-37.645266,145.04754,8 Epsom Avenue,EPPING,FRANKSTON,20005,1.72778,51,1,3,3,2,1
22105,-37.753418,144.963784,17 Wolseley Street,COBURG,MOONEE VALLEY,19966,0.2095,21,1,41,18,12,6
81058,-37.979664,145.229767,25 Garside Street,DANDENONG,CARDINIA,19888,2.09942,46,1,25,10,5,3
76648,-37.921019,145.114187,2 Eva Street,CLAYTON,HINDMARSH,19915,0.69063,31,1,0,0,0,0
59654,-37.829049,145.189388,22 Rosstrevor Crescent,MITCHAM,PORT PHILLIP,19900,1.2497,31,1,25,9,5,3
71137,-37.844144,145.236948,14 Northam Road,WANTIRNA,CENTRAL GOLDFIELDS,19871,1.88394,37,1,0,0,0,0
94867,-37.926406,145.040018,156 Patterson Road,BENTLEIGH,HOBSONS BAY,19938,0.42315,32,1,20,15,15,10
66464,-37.790588,145.311065,5 Highland Crescent,MOOROOLBARK,WEST WIMMERA,19877,0.66056,46,1,0,0,0,0
26386,-37.597617,144.910893,3 Ravenwoods Way,CRAIGIEBURN,YARRA RANGES,40221,2.89791,41,1,5,3,2,1
44163,-37.709254,145.097838,115 Nell Street,GREENSBOROUGH,GLEN EIRA,19985,1.09018,46,1,15,4,2,1
57366,-37.825799,145.08018,58 Maling Road,CANTERBURY,MELBOURNE,19893,0.17268,20,1,23,12,8,5
82181,-38.001053,145.244169,4 Rogers Street,EUMEMMERRING,PYRENEES,19885,2.91465,50,1,0,0,0,0
5916,-37.78829,144.863686,93 Ashley Street,BRAYBROOK,HUME,20022,1.22188,17,1,332,227,156,80
48450,-37.808992,145.044577,43 Atkins Street,KEW,SOUTH GIPPSLAND,19903,1.4965,14,1,2,0,0,0
35778,-37.710754,145.015427,91 McMahon Road,RESERVOIR,EAST GIPPSLAND,20009,0.60993,41,1,1,0,0,0
41829,-37.740793,145.071404,20 Millicent Street,ROSANNA,EAST GIPPSLAND,19936,0.51826,36,1,1,0,0,0
69693,-37.86212,145.099701,2 Nolan Court,ASHWOOD,DAREBIN,19839,1.58121,Not available,0,41,22,15,8
93869,-38.067783,145.124284,24 Breeze Street,BONBEACH,QUEENSCLIFFE,19859,0.67294,56,1,0,0,0,0
66092,-37.773417,145.318099,25 Meadowlark Lane,MOOROOLBARK,WEST WIMMERA,19877,1.35735,46,1,0,0,0,0
35323,-37.726643,145.004951,6 Powell Street,RESERVOIR,EAST GIPPSLAND,20011,0.27415,37,1,1,0,0,0
2460,-37.810478,144.87648,7/46 Edgar Street,KINGSVILLE,ALPINE,20023,1.23954,15,1,0,0,0,0
6415,-37.798393,144.822685,20 Dundalk Street,SUNSHINE,KNOX,20021,1.41699,20,1,23,5,3,2
52401,-37.81959,144.991014,15 The Crofts,RICHMOND,EAST GIPPSLAND,19908,0.50476,6,1,1,0,0,0
51324,-37.777584,145.119723,364 Manningham Road,DONCASTER,MORELAND,20042,4.63741,22,1,111,55,48,25
85405,-37.883842,145.009505,22 King Street,ELSTERNWICK,MORELAND,19954,0.76297,Not available,0,111,55,48,25
10056,-37.784674,144.935615,133 Victoria Street,FLEMINGTON,WHITTLESEA,19971,0.50526,11,1,152,72,45,23
86185,-37.892699,145.000529,152A Cochrane Street,BRIGHTON,HUME,19953,0.5478,Not available,0,332,227,156,80
75525,-37.898274,145.056898,9 Rosanna Street,CARNEGIE,MELBOURNE,19919,1.28653,22,1,23,12,8,5
46581,-37.718387,145.162376,134 Arthur Street,ELTHAM,FRANKSTON,19987,1.39012,52,1,3,3,2,1
62107,-37.776086,145.242525,55 Wellington Park Drive,WARRANWOOD,MACEDON RANGES,19878,3.98232,42,1,1,1,1,0
68427,-37.858404,145.016,28 Denbigh Road,ARMADALE,BRIMBANK,19945,0.36418,16,1,77,36,21,12
16914,-37.701759,144.928528,26 Connell Street,GLENROY,WYNDHAM,20032,1.04275,28,1,99,45,34,20
22300,-37.741957,144.956173,21 Vincent Street,COBURG,MOONEE VALLEY,19965,0.63204,23,1,41,18,12,6
53247,-37.824202,145.005572,40 Edinburgh Street,RICHMOND,EAST GIPPSLAND,19906,0.4125,8,1,1,0,0,0
89259,-37.957238,145.013523,17 Kirkwood Avenue,SANDRINGHAM,PYRENEES,19948,1.10002,Not available,0,0,0,0,0
96586,-38.01281,145.28093,19 Eleanore Crescent,HALLAM,GLEN EIRA,19885,1.12158,50,1,15,4,2,1
51466,-37.783222,145.10324,49 Ayr Street,DONCASTER,MORELAND,19896,4.03522,25,1,111,55,48,25
16806,-37.711902,144.914251,21 Stanley Street,GLENROY,WYNDHAM,20032,0.86062,28,1,99,45,34,20
41947,-37.764001,145.068934,26 Glenard Drive,EAGLEMONT,MORELAND,19935,1.05911,34,1,111,55,48,25
81048,-37.973728,145.198912,24 King George Parade,DANDENONG,CARDINIA,19889,0.8158,42,1,25,10,5,3
1669,-37.778522,144.883545,11 Fisher Street,MAIDSTONE,BAW BAW,20027,2.32553,Not available,0,3,0,0,0
17244,-37.712165,144.937392,42 West Street,HADFIELD,WYNDHAM,20033,1.53901,26,1,99,45,34,20
89652,-37.95017,145.019938,70 Vincent Street,SANDRINGHAM,PYRENEES,19948,1.34986,Not available,0,0,0,0,0
38780,-37.767294,145.039726,27 Livingstone Street,IVANHOE,BASS COAST,19933,0.53229,30,1,0,0,0,0
55370,-37.84745,145.092041,25 Outlook Drive,CAMBERWELL,MELBOURNE,19849,1.11209,25,1,23,12,8,5
91280,-37.979655,145.043847,148 Pellatt Street,BEAUMARIS,TOWONG,19866,1.72604,40,1,0,0,0,0
89238,-37.950552,145.016169,16 Codrington Street,SANDRINGHAM,PYRENEES,19948,1.0192,Not available,0,0,0,0,0
16151,-37.699525,144.902737,87 Primula Boulevard,GOWANBRAE,WYNDHAM,20031,1.25434,30,1,99,45,34,20
25689,-37.591201,144.907281,18 Grosvenor Square,CRAIGIEBURN,YARRA RANGES,40221,3.39121,41,1,5,3,2,1
51766,-37.803128,145.197233,11 Young Street,DONVALE,CASEY,19900,1.71997,31,1,69,23,14,7
14823,-37.747265,144.904502,80 Mc Cracken Street,ESSENDON,NILLUMBIK,20037,1.41691,16,1,4,2,1,1
2061,-37.819984,144.846739,25 Stenhouse Avenue,BROOKLYN,WANGARATTA,20022,2.71256,17,1,0,0,0,0
11998,-37.714572,144.772998,1 Kellybrook Close,DELAHEY,BULOKE,20000,1.50009,34,1,0,0,0,0
22994,-37.746461,144.969034,59 Sheffield Street,COBURG,MOONEE VALLEY,19965,0.67931,23,1,41,18,12,6
57800,-37.828763,145.137899,2/8 Duckham Street,BLACKBURN,GREATER GEELONG,19897,0.92218,27,1,1,2,2,1
94392,-37.95288,145.084897,5 Enid Court,HEATHERTON,SOUTH GIPPSLAND,19866,3.07244,40,1,2,0,0,0
5803,-37.793343,144.853912,5 Showers Street,BRAYBROOK,HUME,20022,1.03142,17,1,332,227,156,80
94894,-37.920193,145.034177,16 Mavho Street,BENTLEIGH,HOBSONS BAY,19939,0.39524,30,1,20,15,15,10
96022,-37.912597,145.034275,6 Exhibition Street,MCKINNON,HORSHAM,19940,0.43562,28,1,0,0,0,0
55474,-37.846292,145.087652,3 Laxdale Road,CAMBERWELL,MELBOURNE,19849,0.85925,25,1,23,12,8,5
11647,-37.72246,144.824751,1 Buckland Crescent,KEILOR,ARARAT,20001,2.83412,31,1,0,0,0,0
2886,-37.811226,144.887955,15 Stewart Street,YARRAVILLE,MITCHELL,19996,0.54341,Not available,0,14,5,3,1
72516,-37.851228,145.25275,6 Terama Crescent,BAYSWATER,INDIGO,19870,1.71671,41,1,-1,0,0,0
9278,-37.855097,144.715271,12 Ellesmere Way,TRUGANINA,CENTRAL GOLDFIELDS,46468,3.27071,Not available,0,0,0,0,0
16259,-37.704765,144.912643,10 Clovelly Avenue,GLENROY,WYNDHAM,20032,0.40391,28,1,99,45,34,20
86130,-37.902896,145.000666,14 Cowper Street,BRIGHTON,HUME,19952,0.27953,Not available,0,332,227,156,80
20493,-37.777774,144.967999,137 Brunswick Road,BRUNSWICK,MARIBYRNONG,19969,0.87363,15,1,22,7,5,3
49973,-37.774132,145.101791,18 Calderwood Street,BULLEEN,MARIBYRNONG,19935,4.08541,34,1,22,7,5,3
49769,-37.810488,145.071557,9 Hardwicke Street,DEEPDENE,BULOKE,19892,1.74034,18,1,0,0,0,0
42369,-37.7374,145.08066,52 Kambea Crescent,VIEWBANK,MANNINGHAM,19936,1.4162,36,1,11,7,4,2
59401,-37.820902,145.199771,13A Rupert Street,MITCHAM,PORT PHILLIP,19900,0.75749,31,1,25,9,5,3
92911,-38.016201,145.095169,2 James Avenue,ASPENDALE,YARRIAMBIACK,19863,1.25703,48,1,0,0,0,0
88876,-37.955013,145.04596,41 Jackson Road,HIGHETT,GREATER DANDENONG,19872,0.81646,37,1,36,10,6,3
85183,-37.878124,145.003329,1 Regent Street,ELSTERNWICK,MORELAND,19955,0.75268,Not available,0,111,55,48,25
85082,-37.876191,144.99094,7 Mason Avenue,ELWOOD,MORELAND,19955,0.37885,Not available,0,111,55,48,25
60884,-37.833172,145.185123,67 Betula Avenue,VERMONT,CENTRAL GOLDFIELDS,19899,1.66338,28,1,0,0,0,0
24998,-37.585423,144.916036,10 Gippsland Way,CRAIGIEBURN,YARRA RANGES,40221,3.02024,41,1,5,3,2,1
80008,-37.994785,145.180206,263 Cheltenham Road,KEYSBOROUGH,KINGSTON,19889,2.09416,42,1,13,4,2,1
50835,-37.793635,145.140457,15 Dunoon Street,DONCASTER,MORELAND,19897,3.02181,27,1,111,55,48,25
29766,-37.770949,144.996533,24 Claude Street,NORTHCOTE,MURRINDINDI,20016,0.16359,28,1,0,0,0,0
93751,-37.991961,145.08531,9 Keith Street,PARKDALE,STONNINGTON,19864,0.79784,45,1,19,4,3,1
52054,-37.823272,145.013295,10 Campbell St,RICHMOND,EAST GIPPSLAND,19906,0.69468,8,1,1,0,0,0
42634,-37.752148,145.066605,84 Brown Street,HEIDELBERG,MONASH,19935,0.7563,34,1,16,5,3,2
24872,-37.603189,144.928522,1 Farnborough Avenue,CRAIGIEBURN,YARRA RANGES,40221,1.31401,41,1,5,3,2,1
26617,-37.586014,144.938217,35 Elsternwick Way,CRAIGIEBURN,YARRA RANGES,40221,1.81583,41,1,5,3,2,1
53968,-37.828819,145.039291,1 Violet Grove,HAWTHORN,YARRA,19904,0.85602,12,1,15,8,5,3
50422,-37.765083,145.090027,8A Ronald Avenue,BULLEEN,MARIBYRNONG,19935,2.73179,34,1,22,7,5,3
8624,-37.760043,144.789676,7 Highcroft Place,CAIRNLEA,YARRA RANGES,20003,1.77364,26,1,5,3,2,1
81948,-37.993288,145.232816,21 Chestnut Road,DOVETON,HINDMARSH,19888,2.05916,46,1,0,0,0,0
5732,-37.78253,144.847985,33 McLennan Street,BRAYBROOK,HUME,20021,1.48773,20,1,332,227,156,80
78166,-37.92338,145.167281,5 Valewood Drive,MULGRAVE,MACEDON RANGES,19914,3.01142,33,1,1,1,1,0
66818,-37.764028,145.367943,1 Rose Court,LILYDALE,FRANKSTON,19876,2.01692,51,1,3,3,2,1
44098,-37.710461,145.095448,105 Delta Road,GREENSBOROUGH,GLEN EIRA,19984,1.02784,42,1,15,4,2,1
92332,-37.9766,145.079058,5 Ovens Court,MENTONE,WEST WIMMERA,19865,1.35255,43,1,0,0,0,0
13453,-37.724255,144.77018,77 Frost Drive,DELAHEY,BULOKE,20001,2.14825,31,1,0,0,0,0
60920,-37.832551,145.200119,70 Glenburnie Road,VERMONT,CENTRAL GOLDFIELDS,19900,1.77005,31,1,0,0,0,0
91831,-37.988704,145.04331,8 Ray Street,BEAUMARIS,TOWONG,19865,2.06314,43,1,0,0,0,0
1623,-37.784441,144.882854,10 Cathcart Street,MAIDSTONE,BAW BAW,20023,1.9455,15,1,3,0,0,0
69363,-37.868813,145.093132,1 Montrose Street,ASHWOOD,DAREBIN,19839,0.65895,Not available,0,41,22,15,8
96894,-38.012642,145.281984,5 Eleanore Crescent,HALLAM,GLEN EIRA,19885,1.21171,50,1,15,4,2,1
94768,-37.908203,145.037263,13A Hawthorn Grove,MCKINNON,HORSHAM,19940,0.25147,28,1,0,0,0,0
17051,-37.704745,144.935418,31 Melbourne Ave,GLENROY,WYNDHAM,20032,1.60285,28,1,99,45,34,20
22213,-37.748965,144.960905,2 Chandos Street,COBURG,MOONEE VALLEY,19966,0.61974,21,1,41,18,12,6
4220,-37.826771,144.87352,1A Kernot Street,SPOTSWOOD,GREATER SHEPPARTON,19995,1.17331,Not available,0,5,0,2,2
74496,-37.907854,145.072415,1017 North Road,MURRUMBEENA,MOIRA,19918,1.51514,24,1,0,0,0,0
92836,-37.994678,145.090454,18 Brownfield Street,PARKDALE,STONNINGTON,19864,1.25206,45,1,19,4,3,1
79254,-37.942326,145.148268,6 McLeod Street,SPRINGVALE,GREATER BENDIGO,19913,0.91999,36,1,0,0,0,0
60725,-37.837018,145.20411,4 Evans Court,VERMONT,CENTRAL GOLDFIELDS,19901,2.15681,32,1,0,0,0,0
53761,-37.822296,145.006576,78 Neptune Street,RICHMOND,EAST GIPPSLAND,19906,0.59227,8,1,1,0,0,0
75642,-37.909517,145.087654,1143 North Road,OAKLEIGH,WANGARATTA,19917,1.0196,26,1,0,0,0,0
34031,-37.706073,145.032848,18 Ayr Street,RESERVOIR,EAST GIPPSLAND,20009,2.06477,41,1,1,0,0,0
41861,-37.747996,145.068228,213 Cape Street,HEIDELBERG,MONASH,19936,0.59856,36,1,16,5,3,2
76356,-37.897598,145.082504,63 Carlisle Crescent,HUGHESDALE,BASS COAST,19918,0.52385,24,1,0,0,0,0
86124,-37.899741,145.003777,138 North Road,BRIGHTON,HUME,19953,0.3408,Not available,0,332,227,156,80
6366,-37.778965,144.836502,2 Roselea Court,SUNSHINE,KNOX,20004,1.0483,23,1,23,5,3,2
81607,-37.982644,145.237947,1 Liquidamber Street,DOVETON,HINDMARSH,19888,2.60681,46,1,0,0,0,0
40061,-37.707569,145.071228,215 Greenwood Drive,BUNDOORA,WODONGA,19984,1.16911,42,1,3,0,0,0
18110,-37.691322,144.921597,125 Graham Street,BROADMEADOWS,WODONGA,20031,0.66029,30,1,3,0,0,0
88913,-37.95079,145.030542,5 Haynes Street,HIGHETT,GREATER DANDENONG,19872,1.02878,37,1,36,10,6,3
9214,-37.882175,144.754505,95 Shane Avenue,SEABROOK,MACEDON RANGES,46468,1.50417,Not available,0,1,1,1,0
62830,-37.833086,145.230691,3 Marlborough Road,HEATHMONT,HORSHAM,19871,1.32932,37,1,0,0,0,0
33573,-37.704809,145.01546,105 Cheddar Road,RESERVOIR,EAST GIPPSLAND,20009,0.62624,41,1,1,0,0,0
28438,-37.806669,144.983853,10 Derby Street,COLLINGWOOD,MOONEE VALLEY,19977,0.86644,15,1,41,18,12,6
58573,-37.821594,145.172638,14 Laughlin Avenue,NUNAWADING,STONNINGTON,19899,0.22682,28,1,19,4,3,1
11869,-37.708775,144.817596,5 Augustines Way,KEILOR,ARARAT,20001,3.10213,31,1,0,0,0,0
85289,-37.877338,145.000137,156 Glen Eira Road,ELSTERNWICK,MORELAND,19955,0.45917,Not available,0,111,55,48,25
21079,-37.761379,144.954738,33 Sutherland Street,BRUNSWICK,MARIBYRNONG,19967,0.5235,18,1,22,7,5,3
89815,-37.969634,145.041636,10 Fairway Avenue,CHELTENHAM,YARRA RANGES,19866,1.18164,40,1,5,3,2,1
11776,-37.7107,144.824793,22 Jackman Crescent,KEILOR,ARARAT,20001,3.42853,31,1,0,0,0,0
13248,-37.703124,144.744228,5/7 Lorraine Court,HILLSIDE,GREATER DANDENONG,20000,2.64737,34,1,36,10,6,3
65114,-37.800576,145.318157,13 Beatrice Street,KILSYTH,SURF COAST,19877,1.83312,46,1,1,0,0,0
7748,-37.781652,144.80671,17A McLaughlin Street,ARDEER,SWAN HILL,20004,1.64452,23,1,1,0,0,0
64775,-37.794343,145.297711,65 Hull Road,CROYDON,CARDINIA,19878,1.51026,42,1,25,10,5,3
79841,-37.984136,145.178958,2 Currawong Street,KEYSBOROUGH,KINGSTON,19889,1.28805,42,1,13,4,2,1
39263,-37.689121,145.075586,1 Brandon Crescent,BUNDOORA,WODONGA,19984,2.53604,42,1,3,0,0,0
60808,-37.840038,145.199367,5 Trinian Street,VERMONT,CENTRAL GOLDFIELDS,19900,2.53681,31,1,0,0,0,0
48406,-37.802112,145.042897,4 Hummingbird Lane,KEW,SOUTH GIPPSLAND,19904,2.22809,12,1,2,0,0,0
49304,-37.803924,145.062914,26 Wills Street,BALWYN,HOBSONS BAY,19892,2.48928,18,1,20,15,15,10
61375,-37.795562,145.242195,16 Sang Court,RINGWOOD,MACEDON RANGES,19879,1.957,38,1,1,1,1,0
92948,-37.987454,145.073613,20 Fourth Street,PARKDALE,STONNINGTON,19864,0.66988,45,1,19,4,3,1
60548,-37.843448,145.191521,2 Bagleys Lane,VERMONT,CENTRAL GOLDFIELDS,19900,2.83198,31,1,0,0,0,0
53226,-37.824768,145.004749,4 Newry Street,RICHMOND,EAST GIPPSLAND,19906,0.39685,8,1,1,0,0,0
11750,-37.725177,144.836826,2 Riverside Avenue,KEILOR,ARARAT,20001,3.82104,31,1,0,0,0,0
79822,-37.984174,145.18699,19 Woomera Avenue,KEYSBOROUGH,KINGSTON,19889,0.77319,42,1,13,4,2,1
67868,-37.846432,145.00881,14 Fairbairn Road,TOORAK,MANNINGHAM,19947,0.62093,12,1,11,7,4,2
88856,-37.949098,145.022556,4 Regworth Court,HIGHETT,GREATER DANDENONG,19948,1.5855,Not available,0,36,10,6,3
32813,-37.729461,144.986812,45a McNamara Street,PRESTON,BOROONDARA,20011,1.41013,37,1,12,3,2,1
35949,-37.686748,145.039963,29 Murchison Way,THOMASTOWN,CAMPASPE,20007,2.37252,46,1,0,0,0,0
54441,-37.815821,145.044982,350 Barkers Road,HAWTHORN,YARRA,19903,0.73608,14,1,15,8,5,3
74190,-37.913942,145.281731,8 Tarago Court,LYSTERFIELD,BALLARAT,19867,3.27739,49,1,2,1,1,0
22459,-37.746883,144.961329,28 Chandos Street,COBURG,MOONEE VALLEY,19965,0.53517,23,1,41,18,12,6
17141,-37.701314,144.906308,37 Valley Crescent,GLENROY,WYNDHAM,20032,1.02587,28,1,99,45,34,20
32742,-37.748817,145.018577,4 Walsh Street,PRESTON,BOROONDARA,20013,1.6615,33,1,12,3,2,1
54242,-37.815865,145.025727,20 Elgin Street,HAWTHORN,YARRA,19905,0.70864,10,1,15,8,5,3
73044,-37.863953,145.279175,16A Stonehaven Avenue,BORONIA,TOWONG,19869,0.60129,44,1,0,0,0,0
89789,-37.962314,145.078406,1/2 Wade Court,CHELTENHAM,YARRA RANGES,19866,2.14788,40,1,5,3,2,1
55356,-37.842831,145.094009,24 Thomas Street,CAMBERWELL,MELBOURNE,19849,1.53388,25,1,23,12,8,5
87551,-37.934351,145.005713,25 Littlewood Street,HAMPTON,WYNDHAM,19949,0.54921,Not available,0,99,45,34,20
19343,-37.663815,144.93663,17 Warne Street,COOLAROO,COLAC-OTWAY,19960,0.92578,34,1,1,0,0,0
42139,-37.767105,145.064959,36 Outlook Drive,EAGLEMONT,MORELAND,19934,1.0456,33,1,111,55,48,25
61942,-37.780535,145.254146,4 Warranwood Road,WARRANWOOD,MACEDON RANGES,19878,2.85776,42,1,1,1,1,0
63676,-37.805129,145.285843,17 Rowan Street,CROYDON,CARDINIA,19878,1.17339,42,1,25,10,5,3
92589,-37.989208,145.087006,10 Wild Street,PARKDALE,STONNINGTON,19864,1.03118,45,1,19,4,3,1
76160,-37.902798,145.076082,4 Ellendale Street,HUGHESDALE,BASS COAST,19918,0.89176,24,1,0,0,0,0
48352,-37.805299,145.04588,36 Uvadale Grove,KEW,SOUTH GIPPSLAND,19903,1.90345,14,1,2,0,0,0
90314,-37.963745,145.050848,22 Churchill Avenue,CHELTENHAM,YARRA RANGES,19866,0.45888,40,1,5,3,2,1
