property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
94313,-37.956018,145.083326,2 Royal Troon Place,HEATHERTON,SOUTH GIPPSLAND,19866,2.78846,40,1,2,0,0,0
52559,-37.824816,145.002972,189 Coppin Street,RICHMOND,EAST GIPPSLAND,19906,0.50568,8,1,1,0,0,0
17981,-37.692098,144.932459,10 GRAHAM STREET,BROADMEADOWS,WODONGA,20031,1.50139,30,1,3,0,0,0
15392,-37.725867,144.915791,54 Willonga Street,STRATHMORE,KNOX,20033,1.01543,26,1,23,5,3,2
70698,-37.887097,145.098588,2A Swanson Crescent,CHADSTONE,MELTON,19839,1.57542,Not available,0,87,30,19,10
56805,-37.847035,145.110279,6 Cropley Court,BURWOOD,MARIBYRNONG,19849,2.66468,25,1,22,7,5,3
87080,-37.921506,145.004667,74 Champion Street,BRIGHTON,HUME,19951,1.0213,Not available,0,332,227,156,80
38165,-37.77642,145.029899,26 Toolangi Road,ALPHINGTON,BANYULE,19931,0.25,28,1,22,13,7,4
29971,-37.76541,145.003664,34 Reid Street,NORTHCOTE,MURRINDINDI,20015,0.59946,29,1,0,0,0,0
86490,-37.922777,144.988865,2A Gould Street,BRIGHTON,HUME,19950,0.41347,Not available,0,332,227,156,80
21500,-37.770957,144.970608,7 Pitt Street,BRUNSWICK,MARIBYRNONG,19968,1.03458,16,1,22,7,5,3
61199,-37.827813,145.226835,118 Wantirna Road,RINGWOOD,MACEDON RANGES,19902,1.34081,34,1,1,1,1,0
46824,-37.707878,145.160877,2/42 Shalbury Avenue,ELTHAM,FRANKSTON,19987,1.31162,52,1,3,3,2,1
8460,-37.763903,144.794011,38 Woodburn Avenue,CAIRNLEA,YARRA RANGES,20003,1.54337,26,1,5,3,2,1
76535,-37.91687,145.142227,112 Wellington Road,CLAYTON,HINDMARSH,19915,2.09405,31,1,0,0,0,0
49690,-37.805717,145.092789,7 Burroughs Road,BALWYN,HOBSONS BAY,19896,1.89326,25,1,20,15,15,10
47403,-37.70559,145.160933,62A Beard Street,ELTHAM,FRANKSTON,19987,1.45542,52,1,3,3,2,1
51800,-37.80485,145.192626,15 Chippewa Avenue,DONVALE,CASEY,19900,1.46604,31,1,69,23,14,7
18479,-37.672762,144.934184,22 Mcivor Street,DALLAS,MOORABOOL,19960,1.33328,34,1,7,2,1,0
92297,-37.982586,145.055496,42 Marina Road,MENTONE,WEST WIMMERA,19865,0.85221,43,1,0,0,0,0
48957,-37.803864,145.074604,12 Bernborough Avenue,BALWYN,HOBSONS BAY,19893,2.36817,20,1,20,15,15,10
5331,-37.864178,144.826617,73 David Street,ALTONA,BRIMBANK,19926,0.42435,Not available,0,77,36,21,12
67825,-37.843433,145.018585,10 Cleeve Court,TOORAK,MANNINGHAM,19946,0.91469,14,1,11,7,4,2
86612,-37.903544,144.993692,330 New Street,BRIGHTON,HUME,19952,0.79701,Not available,0,332,227,156,80
51842,-37.801327,145.18093,21 Florence Avenue,DONVALE,CASEY,19900,2.09573,31,1,69,23,14,7
94756,-37.926099,145.037267,130 Patterson Road,BENTLEIGH,HOBSONS BAY,19938,0.18994,32,1,20,15,15,10
76159,-37.900913,145.080671,4 Darling Street,HUGHESDALE,BASS COAST,19917,0.6735,26,1,0,0,0,0
75217,-37.885899,145.05162,48 Holywood Grove,CARNEGIE,MELBOURNE,19920,0.61219,20,1,23,12,8,5
96690,-38.005909,145.283054,27 Hyssop Drive,HALLAM,GLEN EIRA,19885,1.75801,50,1,15,4,2,1
33754,-37.722323,145.01651,13 Acheron Avenue,RESERVOIR,EAST GIPPSLAND,20010,1.03358,40,1,1,0,0,0
62134,-37.792886,145.253459,6 Duncan Court,RINGWOOD,MACEDON RANGES,19879,2.14352,38,1,1,1,1,0
66204,-37.780717,145.341182,3 Tudor Drive,MOOROOLBARK,WEST WIMMERA,19877,2.57145,46,1,0,0,0,0
19470,-37.663386,144.929647,6 Digby Court,COOLAROO,COLAC-OTWAY,44817,0.41298,35,1,1,0,0,0
19688,-37.6695,144.892715,3 Mitchell Court (Alanbrae),ATTWOOD,MOYNE,20030,2.80911,32,1,0,0,0,0
77857,-37.924781,145.190075,29 Waverley Park Drive,MULGRAVE,MACEDON RANGES,19913,4.23262,36,1,1,1,1,0
65708,-37.78286,145.314041,12 Delville Street,MOOROOLBARK,WEST WIMMERA,19877,0.25496,46,1,0,0,0,0
84664,-37.87668,144.991908,149 Brighton Road,ELWOOD,MORELAND,19955,0.30488,Not available,0,111,55,48,25
60094,-37.822121,145.202148,53 Cochrane Street,MITCHAM,PORT PHILLIP,19901,1.00203,32,1,25,9,5,3
26637,-37.583193,144.923882,36 Chelsworth Loop,CRAIGIEBURN,YARRA RANGES,40221,2.69029,41,1,5,3,2,1
14070,-37.752499,144.904078,21 Lyon Street,ESSENDON,NILLUMBIK,20037,1.13608,16,1,4,2,1,1
52117,-37.829328,144.999802,11 Barkly Avenue,RICHMOND,EAST GIPPSLAND,19907,0.40512,Not available,0,1,0,0,0
41507,-37.766285,145.052296,118 Locksley Road,EAGLEMONT,MORELAND,19934,0.33361,33,1,111,55,48,25
27532,-37.608505,144.924194,7 Bampton Mews,CRAIGIEBURN,YARRA RANGES,40221,1.84372,41,1,5,3,2,1
53248,-37.824818,145.000256,40 Elm Grove,RICHMOND,EAST GIPPSLAND,19907,0.33121,Not available,0,1,0,0,0
18814,-37.675425,144.916242,4 KAY COURT,BROADMEADOWS,WODONGA,20030,0.89918,32,1,3,0,0,0
53502,-37.828372,144.999286,57 Brighton Street,RICHMOND,EAST GIPPSLAND,19907,0.29377,Not available,0,1,0,0,0
45158,-37.701248,145.101273,49 Scotland Avenue,GREENSBOROUGH,GLEN EIRA,19985,0.68417,46,1,15,4,2,1
96387,-37.999348,145.254595,1/13 CARLISLE RD,HALLAM,GLEN EIRA,19885,2.44231,50,1,15,4,2,1
24899,-37.589017,144.919599,1 Midhurst Court,CRAIGIEBURN,YARRA RANGES,40221,2.53134,41,1,5,3,2,1
24539,-37.711199,144.968349,66 Lynch Road,FAWKNER,MONASH,19962,0.78576,28,1,16,5,3,2
19358,-37.660653,144.934566,20 Crossley Crescent,COOLAROO,COLAC-OTWAY,44817,0.75098,35,1,1,0,0,0
88393,-37.94566,145.038216,10 Monamie Avenue,HIGHETT,GREATER DANDENONG,19872,0.44466,37,1,36,10,6,3
45842,-37.711926,145.124778,15 Price Avenue,MONTMORENCY,PORT PHILLIP,19986,0.47252,48,1,25,9,5,3
36152,-37.674898,145.042886,122 Casey Drive,LALOR,KINGSTON,20006,2.47775,48,1,13,4,2,1
73391,-37.86679,145.280446,27 Tulip Crescent,BORONIA,TOWONG,19869,0.7859,44,1,0,0,0,0
10268,-37.797623,144.930405,22 Tennyson Street,KENSINGTON,SOUTH GIPPSLAND,20041,0.42786,9,1,2,0,0,0
41304,-37.680631,145.077444,9/70 Janefield Drive,BUNDOORA,WODONGA,19984,3.42189,42,1,3,0,0,0
81774,-37.987333,145.238491,134 Kidds Road,DOVETON,HINDMARSH,19888,2.54067,46,1,0,0,0,0
44079,-37.694551,145.107691,10 Tarwarri Court,GREENSBOROUGH,GLEN EIRA,19985,1.04787,46,1,15,4,2,1
86694,-37.902804,144.989455,4 Avonbury Court,BRIGHTON,HUME,19952,1.17807,Not available,0,332,227,156,80
34347,-37.721646,145.016911,23 Acheron Avenue,RESERVOIR,EAST GIPPSLAND,20010,1.02134,40,1,1,0,0,0
68575,-37.856627,145.02392,51 Stuart Street,ARMADALE,BRIMBANK,19945,0.40428,16,1,77,36,21,12
95501,-37.916439,145.045435,30 Seaview Avenue,BENTLEIGH,HOBSONS BAY,19939,0.74925,30,1,20,15,15,10
54256,-37.831711,145.036896,21 Berkeley Street,HAWTHORN,YARRA,19910,0.9609,Not available,0,15,8,5,3
43034,-37.724358,145.101192,26 The Grange,YALLAMBIE,MAROONDAH,19986,2.05429,48,1,23,4,2,1
82587,-37.901937,145.271798,15 Stephenson Court,ROWVILLE,BALLARAT,19868,3.05299,46,1,2,1,1,0
76418,-37.898037,145.079452,8 Preston Road,HUGHESDALE,BASS COAST,19918,0.38586,24,1,0,0,0,0
29466,-37.771014,144.989344,15 Ryan Street,NORTHCOTE,MURRINDINDI,20016,0.53751,28,1,0,0,0,0
16970,-37.698586,144.907135,29 RIDGEWAY AVENUE,GLENROY,WYNDHAM,20031,0.85861,30,1,99,45,34,20
23093,-37.736972,144.975687,7 Kewarren Court,COBURG,MOONEE VALLEY,19964,1.19433,25,1,41,18,12,6
34237,-37.70359,145.020416,20 Dundee Street,RESERVOIR,EAST GIPPSLAND,20009,1.07301,41,1,1,0,0,0
64219,-37.795115,145.29962,3/3 Timms Avenue,CROYDON,CARDINIA,19877,1.6112,46,1,25,10,5,3
63762,-37.779698,145.301838,19 Orbell-Jones Court,CROYDON,CARDINIA,19877,1.08627,46,1,25,10,5,3
87092,-37.914396,145.004093,77 Halifax Street,BRIGHTON,HUME,19951,0.68939,Not available,0,332,227,156,80
84019,-37.851814,145.004715,42 Pridham Street,PRAHRAN,BOROONDARA,19946,0.81634,14,1,12,3,2,1
81273,-37.998955,145.213112,40 Kirkham Road,DANDENONG,CARDINIA,19888,1.0436,46,1,25,10,5,3
69802,-37.868047,145.073535,24 Keyes Street,ASHBURTON,DAREBIN,19847,0.53872,28,1,41,22,15,8
33707,-37.732031,145.034713,12 Mattea Court,RESERVOIR,EAST GIPPSLAND,20011,2.84092,37,1,1,0,0,0
69174,-37.866146,145.037109,46 Wheatland Road,MALVERN,BAW BAW,19944,0.68688,18,1,3,0,0,0
55390,-37.83739,145.090697,26 Nicholsdale Road,CAMBERWELL,MELBOURNE,19894,1.46829,22,1,23,12,8,5
34464,-37.693404,144.987568,27 Alcock Street,RESERVOIR,EAST GIPPSLAND,20008,2.14804,44,1,1,0,0,0
26616,-37.572559,144.921028,35 Cradle Mountain Drive,CRAIGIEBURN,YARRA RANGES,40221,3.8045,41,1,5,3,2,1
46535,-37.717851,145.161419,126 Arthur Street,ELTHAM,FRANKSTON,19987,1.28951,52,1,3,3,2,1
32002,-37.751057,145.00917,16 Railton Grove,PRESTON,BOROONDARA,20013,1.0019,33,1,12,3,2,1
31985,-37.748423,145.005566,16 Flett Street,PRESTON,BOROONDARA,20013,0.57294,33,1,12,3,2,1
76460,-37.917286,145.112543,1 Alice Street,CLAYTON,HINDMARSH,19915,1.08184,31,1,0,0,0,0
31988,-37.744961,145.013351,16 Jackman Street,PRESTON,BOROONDARA,20013,1.16351,33,1,12,3,2,1
63603,-37.804447,145.278885,15/40 Lusher Road,CROYDON,CARDINIA,19878,1.01424,42,1,25,10,5,3
78811,-37.938224,145.172863,20 Phillip Avenue,SPRINGVALE,GREATER BENDIGO,19913,2.11701,36,1,0,0,0,0
14468,-37.753696,144.921417,43 Raleigh Street,ESSENDON,NILLUMBIK,20037,0.52676,16,1,4,2,1,1
26692,-37.603187,144.933771,38 Langdon Crescent,CRAIGIEBURN,YARRA RANGES,40221,0.85588,41,1,5,3,2,1
69515,-37.867449,145.072612,13 Boyle Street,ASHBURTON,DAREBIN,19847,0.62653,28,1,41,22,15,8
72401,-37.848951,145.274703,43 Farnham Road,BAYSWATER,INDIGO,19870,0.9896,41,1,-1,0,0,0
18737,-37.689093,144.930197,35 Holberry Street,BROADMEADOWS,WODONGA,20030,1.14975,32,1,3,0,0,0
56678,-37.859926,145.107841,4 Pescott Close,BURWOOD,MARIBYRNONG,19840,1.56765,Not available,0,22,7,5,3
87263,-37.937437,145.016832,1 Ozone Street,HAMPTON,WYNDHAM,19949,1.34997,Not available,0,99,45,34,20
85504,-37.881516,144.997967,3 Ripon Grove,ELSTERNWICK,MORELAND,19954,0.4429,Not available,0,111,55,48,25
47000,-37.716896,145.156296,3 Lamorna Court,ELTHAM,FRANKSTON,19987,0.834,52,1,3,3,2,1
